text;section_number;title;chapter_number;chapter_name;source
"
King Dhritarashtra ordered a beautiful palace built for the Pandavas in Varanavata, and he put his son Duryodhana in charge.
Duryodhana, meanwhile, turned the palace into a deadly trap, arranging for the building materials to be soaked in oil and resin so he could burn the Pandavas alive in their home.
But Vidura, Dhritarashtra's low-born brother, warned his nephews to beware. ""The wise jackal's den has more than one exit,"" he told Yudhishthira. 
""I understand,"" said Yudhishthira, smiling. 
The Pandavas pretended to be delighted with their new palace, but they secretly built a tunnel that would provide a safe escape.

";51;Duryodhana Plots against the Pandavas;3;THE CONFLICT INTENSIFIES;http://100words.lauragibbs.net/
"
The royal administrator in Varanavata, Purochana, was Duryodhana's agent. The Pandavas knew he planned to kill them in a fire. 
""We'll beat him to it,"" said Yudhishthira, and he ordered Bhima to set the palace on fire.
The Pandavas escaped through their tunnel, while Purochana died in the flames. 
A mother and her five sons also died in the fire. They had come to the palace seeking food and drink, and there they fell asleep, intoxicated.
The next day, when their charred remains were discovered, Duryodhana was delighted, thinking the Pandavas and their mother Kunti had died in the fire.

";52;The House in Varanavata Burns;3;THE CONFLICT INTENSIFIES;http://100words.lauragibbs.net/
"
When the Pandavas and Kunti emerged at the other end of the tunnel, they met a boatman who was waiting for them as Vidura had arranged, and they gave the watchword: ""The wise jackal's den has more than one exit.""
This boatman took them across the river, and they then fled deep into the forest. Their plan was to hide in the forest, disguised as brahmins, keeping as far from Duryodhana and his spies as they could.
Meanwhile, back in Hastinapura, King Dhritarashtra mourned his nephews in public, but privately he rejoiced with his son Duryodhana.
Vidura, meanwhile, kept silent.

";53;The Pandavas Escape;3;THE CONFLICT INTENSIFIES;http://100words.lauragibbs.net/
"
As they wandered the forest, Bhima would stand watch over his mother and brothers while they slept.
One night, a rakshasa named Hidimba approached them. ""I smell humans!"" he said to his sister, Hidimbi. ""Lure that big one in my direction. I'll kill him, and we will enjoy a feast!!""
But when Hidimbi saw Bhima, she fell in love. While Bhima and her brother fought, she used supernatural powers to protect Bhima, and he killed her brother.
Bhima then married Hidimbi, and she bore their son: Ghatotkacha. 
""If you ever need me,"" Ghatotkacha told Bhima, ""call, and I will come.""

";54;Bhima Fights a Rakshasa;3;THE CONFLICT INTENSIFIES;http://100words.lauragibbs.net/
"
In their wanderings, the Pandavas met their grandfather Vyasa. ""Go to the village of Ekachakra,"" he advised them. 
The villagers there told the Pandavas that a deadly rakshasa named Baka demanded a cartload of food daily. He ate the food, and the driver too!
Bhima agreed to drive the cart, being eager to eat the food himself. 
As Bhima sat on the cart eating, Baka attacked. ""That's my food!"" he shrieked. 
Bhima just laughed.
They wrestled, and Bhima finally killed Baka.
The villagers wanted to honor their saviors, but the Pandavas decided to move on before their identity was discovered.

";55;Bhima Fights Baka;3;THE CONFLICT INTENSIFIES;http://100words.lauragibbs.net/
"
One day in the forest, a gandharva named Angaraparna attacked the Pandavas, but Arjuna incinerated Angaraparna's chariot with a fire-arrow and captured him.
Angaraparna's wife begged for mercy, and the Pandavas freed him. Angaraparna then rewarded the Pandavas with great hospitality, telling them many stories, and also giving them advice. ""Find a priest, get a wife, and make yourselves the kings you were born to be.""
So the Pandavas found a priest, and the priest told them to seek a wife at the swayamvara of King Drupada.
Because they were still hiding from the Kauravas, they went disguised as brahmins.

";56;The Pandavas Meet a Gandharva;3;THE CONFLICT INTENSIFIES;http://100words.lauragibbs.net/
"
Kings and princes thronged the stadium, eager to compete for Draupadi, King Drupada's fire-born daughter. Drupada had put a revolving fish-shaped target high on a pole, and the archer had to shoot by looking at the target reflected in a pan of oil below.
Many princes tried and failed.
Then it was Karna's turn. He nocked an arrow confidently, but before he could shoot, Draupadi exclaimed, ""I recognize this so-called king! He's just a charioteer. Send him away!""
""He is King of Anga,"" Duryodhana protested. ""Let him compete!""
""No, my friend,"" Karna said to Duryodhana. ""I do not want her.""

";57;Drupada Holds a Swayamvara;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
The Pandavas attended Draupadi's swayamvara disguised as brahmins.
One of the princes in the audience was Krishna, who recognized the Pandavas despite their disguises. ""Look, Balarama,"" Krishna said to his brother, pointing at the brahmins. ""Those are the Pandavas!""
""Then they did not die in the fire after all!"" Balarama exclaimed.
""Now we will see something momentous,"" Krishna murmured. ""Arjuna will surely be able to pass Drupada's test. And then things will get... interesting. Very interesting.""
Just as Krishna foretold, Arjuna stood up and approached the target, while the crowd murmured in surprise that a brahmin had entered the competition.

";58;Krishna Recognizes the Pandavas;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
When Arjuna approached the target, the kings and princes shouted, ""Brahmins aren't allowed!"" 
But Draupadi was intrigued and did not object, nor did King Drupada.
Arjuna nodded his thanks to Drupada and smiled at Draupadi. He then seized his bow, taking aim as he looked at the target reflected in the oil. 
Arjuna shot not just one arrow, but five, hitting the target every time.
Draupadi draped the victor's garland on the mysterious brahmin.
The kings and princes grew even more angry, but Bhima fought them off, and the five Pandavas fled with Draupadi, taking her to their humble home.

";59;Arjuna Competes in the Swayamvara;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
Each day, the Pandavas would bring home the alms they had begged and give them to their mother, Kunti. So, after Arjuna won the wedding contest for Draupadi, Bhima decided to play a little joke. ""Mother, come see what alms we have brought home today!"" he shouted to her inside the house.
""Of course you must share the alms equally!"" Kunti shouted back.
Then she came outside and saw Draupadi, who gave Kunti a shy and confused smile.
""I cannot take back my words, dear,"" she said to her new daughter-in-law. ""All five of my sons will be your husbands.""

";60;The Pandavas Must Share the Alms;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
""We must go explain this to my father,"" said Draupadi, and she then led the five Pandavas back to the palace.
King Drupada had already guessed who these five brahmins must be. ""If you are who I think you are,"" he said to Yudhishthira, smiling, ""I know you cannot lie to me. Tell me truthfully: who are you?""
""I am Yudhishthira, son of Pandu, once a prince of Hastinapura, and these are my brothers: Arjuna, Bhima, Nakula, and Sahadeva. The lovely Draupadi will be our wife.""
King Drupada stared at Yudhishthira in confusion.
""We will all marry Draupadi,"" Yudhishthira repeated.

";61;King Drupada Receives the Pandavas;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
""Impossible!"" Drupada shouted. ""A woman cannot have five husbands.""
Vyasa then appeared, as if he knew he was needed. ""I can explain,"" he said, smiling at his grandsons. ""This is Draupadi's fate. In a past life, she was Nalayani, married to the rishi Moudgalya. Because of her devotion, Moudgalya offered to grant her a boon. She asked him to make love to her in five different forms, and he did. Later, when Moudgalya renounced the world, Nalayani despaired. 'I want my husband, husband, husband, husband, husband,' she sighed, thinking of Moudgalya's five forms. The gods are granting her wish now."" 

";62;The Story of Nalayani;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
Here is another story about Draupadi's past life:
She was a woman without a husband, so she prayed to Shiva. ""Give me a husband who always tells the truth,"" she said. ""Give me a husband who is powerful and strong. A skilled and fearless husband. A handsome husband. A wise husband.""
Shiva then appeared. ""I will grant your prayer,"" he said, ""but you will have five husbands, not one. There is no way that one husband alone could have all the qualities that you desire. God has all those qualities, but you will not find them in one man alone.""

";63;Shiva Fulfills a Woman's Prayer;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
Reassured by Vyasa, Drupada gave his approval. Draupadi married Yudhishthira first. Next she married Bhima, and then Arjuna, who had actually won her at the swayamvara. Finally, she also married Nakula and Sahadeva.
Draupadi agreed that she would spend a year with each of the Pandavas in turn. If any brother violated this arrangement, in thought or in deed, he would go into exile, completing a pilgrimage to redeem himself.
Meanwhile, news of these events reached King Dhritarashtra and his son Duryodhana in Hastinapura. The Pandavas were not dead after all! Even worse: they were now Drupada's allies by marriage.

";64;Draupadi Marries the Pandavas;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
King Dhritarashtra was concerned about this new alliance of the Pandavas with King Drupada.
""Drupada has never forgiven Drona for making him divide his kingdom,"" Dhritarashtra said, ""and now my nephews have become his sons-in-law.""
""This is indeed a dangerous alliance,"" Drona observed. ""Drupada's own son Dhrishtadyumna is a formidable warrior.""
But Bhishma urged Dhritarashtra to make peace with his nephews. ""You never should have sent them away to Varanavata. Let Vidura go congratulate them on their marriage and invite them back home to Hastinapura.""
""Yes,"" King Dhritarashtra decided at last. ""It is time for the Pandavas to come home.""

";65;King Dhritarashtra Deliberates;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
Cautiously, the Pandavas accepted their uncle's invitation to leave the safety of Drupada's kingdom and return to Hastinapura.
""I have decided to divide the kingdom between my own sons and you, who are my brother's sons,"" King Dhritarashtra told them. ""Your half will be the land called Khandavaprastha. That will be your kingdom.""
Khandavaprastha, however, was a wilderness.
""Our uncle is sending us into this barren desert to die!"" shouted Bhima.
""Do not worry,"" said Yudhishthira confidently. ""We will make it a great kingdom."" 
The Pandavas cleared the land and built a beautiful capital city. They called their kingdom Indraprastha.

";66;The Pandavas Go to Khandavaprastha;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
A brahmin approached Arjuna and Krishna in Khandava Forest. ""Feed me!"" he said. Then he revealed himself as Agni, the fire-god. ""Drive Indra's rain away so I can eat the fat of the animals.""
In exchange, Agni offered weapons: the Gandiva bow for Arjuna, and the Sudarshana-Chakra discus for Krishna.
As the fire raged, Arjuna and Krishna kept Indra's rain away, shooting their arrows into the sky. Agni thus consumed the forest's trees and animals. Only a few birds escaped, plus the naga Ashwasena, and also Mayasura, architect of the asuras, who built a splendid palace for the Pandavas.

";67;Khandava Forest Burns;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
The rishi Narada visited Yudhishthira's court at Indraprastha, and he told the Pandavas this story as a warning:
The twin asura brothers, Sunda and Upasunda, tormented the world. No creature, mortal or immortal, could defeat them.
The god Brahma then created a perfectly beautiful apsara: Tilottama.
Dressed in a sari of red silk, she danced before the brothers. They were captivated. 
""She's mine!"" shouted Sunda.
""No!"" shouted Upasunda. ""She's mine! I saw her first!""
""No!"" shouted Sunda. ""I saw her first!""
Because the brothers were equally strong, they killed each other as they fought.
The Pandava brothers heeded Narada's warning.

";68;The Story of Sunda and Upasunda;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
The five Pandava brothers had agreed to share Draupadi as their wife, and each brother was her husband for one year at a time. As the year ended and Draupadi's time with one husband ended and another husband began, she would walk through fire and thus regain her virginity, year after year.
Over time, Draupadi had five sons, one with each of the Pandavas; they were known as the Upapandavas.
Her son with Yudhishthira was Prativindhya.
Her son with Bhima was Sutasoma.
Her son with Arjuna was Shrutakarma.
Her son with Nakula was Shatanika.
Her son with Sahadeva was Shrutasena.

";69;Draupadi Becomes a Mother;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"

Then the unthinkable happened: rushing to see Yudhishthira, Arjuna walked in on Yudhishthira with Draupadi. Because he violated their brotherly agreement, Arjuna went into self-imposed exile.
It wasn't really Arjuna's fault. To ensure Draupadi's privacy when she was with each husband, the current husband would leave his shoes outside the door as a sign that he was inside. A dog, however, had stolen Yudhishthira's shoes, which is why Arjuna walked in unsuspecting.
In her rage, Draupadi cursed all dogs. ""You will copulate in public for all to see!"" she decreed. ""That will be the shame of dogs henceforth and forever.""

";70;Arjuna Violates the Agreement;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
In his exile, Arjuna came to a lake infested with deadly crocodiles. Unafraid, he jumped into the water. A crocodile seized him, but Arjuna wrestled with the crocodile and finally dragged it ashore. 
Then, to Arjuna's surprise, the crocodile turned into a beautiful apsara! 
She urged Arjuna to wrestle with the other crocodiles in the lake; they all turned into apsaras.
""A rishi cursed us to become crocodiles,"" they said, ""but we knew a kshatriya would free us.""
The apsaras returned to heaven, and the people of the land were able to safely bathe in the waters of the lake.

";71;Arjuna Comes to a Deadly Lake;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
After a long day's walk, Arjuna reached a river. Eager to wash the dust off his body, he jumped into the water, but something grabbed him, pulling him down. Arjuna struggled, but he could not break free.
Then, to his surprise, he saw that it was a beautiful woman who had seized him. ""Marry me, Arjuna!"" she said. ""I am Ulupi, princess of the nagas.""
Arjuna made love to Ulupi, and she finally let him go.
Arjuna then continued his journey, forgetting all about her.
But many years later, he would meet their son, Iravan, at the battle of Kurukshetra.

";72;Arjuna Meets Ulupi;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
Arjuna came to Dwaraka, the home of his good friend Krishna.
Krishna's sister Subhadra was deeply in love with Arjuna, but her brother Balarama had arranged for her to marry Duryodhana. 
Krishna didn't hesitate: he urged Arjuna to elope with Subhadra. Arjuna entered the city disguised as a beggar. Even in this disguise, Subhadra recognized him immediately, and the two fled the city on his chariot. Subhadra drove the chariot while Arjuna shot arrows at their pursuers. 
Krishna was able to soothe his brother Balarama's anger, but not so Duryodhana: the incident only added to his hatred for the Pandavas.

";73;Arjuna Elopes with Subhadra;4;DRAUPADI AND THE PANDAVAS;http://100words.lauragibbs.net/
"
After Arjuna returned, the Pandavas organized a grand coronation ceremony for Yudhishthira and invited the royal families from neighboring kingdoms as their guests. Their cousin Duryodhana was one of those guests.
Seeing the splendid palace of Indraprastha, built by the magic of the divine Mayasura, Duryodhana raged with jealousy.
Mistaking a shimmering marble floor for a pool, he tucked up his garment to stay dry. The Pandavas laughed.
Next, Duryodhana got drenched falling into a pool that he thought was a floor, and the Pandavas laughed even louder. ""He sees no better than his father,"" Draupadi joked.
Duryodhana vowed revenge.

";74;Duryodhana Visits Indraprastha;5;THE GAME;http://100words.lauragibbs.net/
"
From among the many illustrious guests at Yudhishthira's coronation, the Pandavas chose Krishna as guest-of-honor. 
This enraged Shishupala, King of Chedi. ""Krishna isn't even a king! He deserves only contempt, not honor!""
Shishupala went on insulting Krishna, who was his cousin, and Krishna bore his insults patiently, having promised Shishupala's mother long ago that he would accept one hundred insults from her son without complaint.
After the hundredth insult, Krishna said, ""Be warned, Shishupala. One more insult, and you will die."" 
But Shishupala would not stop. ""Peasant! Coward! Thief!"" he shouted.
Krishna let loose his Sudarshana-Chakra and severed Shishupala's head.

";75;Shishupala Insults Krishna;5;THE GAME;http://100words.lauragibbs.net/
"
Vyasa left his forest ashram to visit his grandsons. ""I have seen alarming omens,"" he told the Pandavas. ""The next thirteen years are filled with danger, and your actions will lead to terrible consequences. All the kshatriyas might perish. Your fate will be their doom, King Yudhishthira.""
Yudhishthira then took a vow. ""For the next thirteen years, I will speak no harsh word to anyone. Harsh words lead to conflict; with soft words, I will create no discord. By this vow I seek to avert my fate.""
Meanwhile, Duryodhana returned to Hastinapura, where he plotted revenge with his uncle Shakuni.

";76;King Yudhishthira Makes a Vow;5;THE GAME;http://100words.lauragibbs.net/
"
King Dhritarashtra had a lavish new palace built for Duryodhana, hoping to calm his jealousy of Yudhishthira's palace, but to no avail. Duryodhana was still determined to get revenge.
Rebuffed by his father, Duryodhana plotted with Shakuni, his mother's brother. ""I want the Pandavas to lose everything!"" Duryodhana snarled. ""What do you advise?""
""You cannot wage war against them,"" Shakuni replied, ""but you could challenge Yudhishthira to a game of dice. Royal honor will require him to accept your invitation, but he has absolutely no skill at dice. I will compete for you against him, and I will surely win.""

";77;Duryodhana Plots with Shakuni;5;THE GAME;http://100words.lauragibbs.net/
"
Duryodhana sent Vidura to Indraprastha as his messenger, and Yudhishthira received his uncle happily; Vidura had always been a friend to them.
""What news from Hastinapura?"" Yudhishthira asked.
""King Dhritarashtra has built a new palace to rival your palace here,"" said Vidura. ""And your cousin Duryodhana invites you there for a game of dice.""
Before Yudhishthira could reply, Bhima shouted, ""It's a trick.""
Draupadi added, ""I do not think we should go, husband.""
""But Duryodhana knows I cannot refuse,"" Yudhishthira said, hesitantly. ""You may tell our cousin that we accept his invitation.""
Vidura then returned to Hastinapura, full of foreboding.

";78;Duryodhana Extends an Invitation;5;THE GAME;http://100words.lauragibbs.net/
"
When the Pandavas arrived at Hastinapura, King Dhritarashtra greeted them warmly, ushering them into the new palace, while Draupadi went to the women's quarters to greet Queen Kunti and the other royal ladies.
""I cannot see the splendor myself,"" said Dhritarashtra, ""but everyone tells me the palace is exceedingly beautiful. Tell me what you think, Yudhishthira!""
""It is indeed very beautiful,"" said Yudhishthira.
Then Yudhishthira saw Duryodhana, accompanied by his uncle Shakuni.
""Are you ready for our little gambling match?"" Duryodhana asked, smiling. ""Shakuni is going to play in my stead.""
Hiding his surprise, Yudhishthira replied calmly, ""I am ready.""

";79;The Pandavas Enter the Gambling Hall;5;THE GAME;http://100words.lauragibbs.net/
"
Yudhishthira faced Shakuni, who played for his nephew, Duryodhana.
Then the game began.
First, they bet a few pearls. Shakuni won.
Then a golden chariot. ""I have won!"" said Shakuni.
Elephants and armies. ""I have won!"" said Shakuni.
Enormous herds of cattle. ""I have won!"" said Shakuni.
The wealth of entire kingdoms. ""I have won!"" said Shakuni.
Vidura begged King Dhritarashtra to stop the match, but the king did nothing.
Yudhishthira staked his brothers one by one. He lost.
Yudhishthira staked himself. He lost.
Yudhishthira staked his wife Draupadi. He lost.
Yudhishthira had nothing left. Shakuni had won it all.

";80;The Game Begins;5;THE GAME;http://100words.lauragibbs.net/
"
Shakuni's success in the gambling match thrilled Duryodhana. He had taken everything from his cousin Yudhishthira.
Everything.
""Bring Draupadi here!"" he commanded his brother Dushasana. ""She is my slave now, a queen no longer.""
But when Dushasana told Draupadi what had happened, she refused to come. ""Ask Duryodhana whether my husband had lost himself already when he staked me,"" she said angrily. ""If he had lost himself, he could not stake me afterwards.""
When Dushasana returned to the assembly hall and repeated Draupadi's words, Duryodhana howled in rage. ""She is my slave!"" he shouted. ""Bring her here now. No excuses!""

";81;Duryodhana Summons Draupadi;5;THE GAME;http://100words.lauragibbs.net/
"
Dushasana returned to fetch Draupadi. ""You are Duryodhana's slave!"" he shouted. ""Come with me!""
""But I have my period,"" Draupadi tried to explain. ""I'm barely dressed. I can't go out like this.""
""Silence, slave!"" Dushasana commanded.
Grabbing Draupadi by the hair, he dragged her before the assembly.
Everyone stared in shock, but said nothing.
""Husbands, you must help me!"" Draupadi moaned. ""Mothers, fathers! Uncles and grandfathers! Do you say nothing? Is there no justice in this assembly?"" 
""This whore has quite a tongue,"" Shakuni joked, and Duryodhana laughed, while Yudhishthira and his brothers wept silently, bowing their heads in shame.

";82;Dushasana Brings Draupadi into the Assembly;5;THE GAME;http://100words.lauragibbs.net/
"
""Strip off your clothes, slaves!"" Duryodhana commanded. ""Now!""
The Pandavas stripped until they stood in only their loincloths.
""You too, whore!"" Duryodhana ordered Draupadi. ""Strip!"" 
At a nod from Duryodhana, Dushasana reached for Draupadi's sari and began to pull, but Draupadi closed her eyes and prayed. ""Lord Vishnu, save me,"" she murmured. ""Save me, God! Save me!""
Dushasana pulled off her sari, but there was another sari underneath, and another, an unending stream of cloth. Dushasana pulled and pulled until he became so entangled in the heap of cloth that he could pull no more.
God had heard Draupadi's prayer.

";83;Duryodhana Seeks to Disrobe Draupadi;5;THE GAME;http://100words.lauragibbs.net/
"
Despite the miracle, Duryodhana continued to taunt Draupadi, baring his thigh. ""Come, slave! Sit on your master's thigh.""
Bhima shouted, ""I'll smash your thigh someday, Duryodhana! As for you, Dushasana: I'll rip you open and drink your blood!""
""My hair will stay unbound,"" Draupadi vowed, ""until I wash it in Dushasana's blood.""
""Death to you all!"" Bhima added. ""Death to Duryodhana and his ninety-nine brothers!""
As Bhima spoke, the dice-board burst into flames.
Vidura could stay silent no longer. ""Draupadi has God's protection. You all saw it. Brother, you must do something,"" he said to Dhritarashtra, ""before it's too late!""

";84;Bhima Makes a Vow;5;THE GAME;http://100words.lauragibbs.net/
"
""Enough!"" shouted King Dhritarashtra, intervening at last. Then he turned his blind eyes towards Draupadi. ""You have been steadfast throughout this ordeal. Make a request, and I will grant it.""
Draupadi replied immediately. ""Free Yudhishthira from slavery!""
""Done!"" agreed Dhritarashtra. ""Make another request.""
""Free Yudhishthira's brothers,"" Draupadi said.
""Done! You may make a third request.""
""That is all,"" Draupadi said. ""I ask for nothing more.""
""Then I restore everything!"" proclaimed Dhritarashtra. ""Wealth, kingdoms, power, everything you lost is yours again. Return to your home in peace.""
So Draupadi and her husbands mounted their chariots and began the journey to Indraprastha.

";85;King Dhritarashtra Grants Draupadi a Boon;5;THE GAME;http://100words.lauragibbs.net/
"
""Summon Yudhishthira to play another game,"" Duryodhana shouted at his father. ""Quickly, before they gather their armies and attack us.""
""My own nephews... attack us?"" Dhritarashtra exclaimed. ""It's unthinkable!""
""Jackals howled the night you were born, my son,"" moaned Gandhari, ""an omen that you would bring destruction upon us. Now I realize the prophecies were true. Calm your rage, I beg you.""
But Duryodhana refused to listen to his mother and father. ""Send a messenger on the swiftest horse,"" he commanded. ""Bring Yudhishthira back here for another game of dice. With Shakuni's help I'll finish him once and for all.""

";86;Duryodhana Demands a Rematch;5;THE GAME;http://100words.lauragibbs.net/
"
Duryodhana's messenger overtook the Pandavas. ""Duryodhana challenges you again!"" he said. ""The losers will be exiled into the wilderness for twelve years, followed by one year in disguise. If they are discovered in that year, another thirteen years of exile will follow.""
Again, Yudhishthira's sense of royal duty meant he could not refuse the challenge.
Again, Shakuni won.
The Pandavas had to go into exile.
""Let Kunti stay here with us,"" Vidura said, and the Pandavas tearfully bid their mother farewell.
As they left Hastinapura, the Kauravas mocked their cousins, but the people pitied the princes and their noble wife.

";87;Yudhishthira Gambles Again;5;THE GAME;http://100words.lauragibbs.net/
"
Many faithful followers accompanied the Pandavas and Draupadi into the wilderness.
""Please go home,"" Yudhishthira told them. ""The forest is dangerous, and I cannot keep you safe. Return to Hastinapura, and we too shall return when our years of exile are complete."" 
Yudhishthira was worried how they would feed themselves in the wilderness; they could not feed all these followers too. 
The family priest then urged Yudhishthira to pray to Surya, the sun-god, source of the world's bounty. Surya appeared and gave Yudhishthira a copper bowl.
""Let Draupadi cook with this bowl,"" Surya said, ""and it will always be full.""

";88;The Exile Begins;6;THE PANDAVAS IN EXILE;http://100words.lauragibbs.net/
"
During their exile, the forest rishis told the Pandavas many stories, including this story about their ancestor, King Kuru.
King Kuru took his plow and went into the field. He ran out of seed, so he cut off his flesh for seed, watering the field with his blood.
""King Kuru, what do you want?"" Indra asked. ""I will grant you a boon!""
""I need nothing,"" replied Kuru, ""but please bless this land so that anyone who dies here in the act of renunciation or in the act of war will ascend to heaven!""
Indra agreed. That field was Kuru-kshetra, Kuru-Field.

";89;The Story of Kurukshetra;6;THE PANDAVAS IN EXILE;http://100words.lauragibbs.net/
"
""Has any king suffered more than I?"" Yudhishthira asked the rishis.
""Listen to Rama's story,"" the rishi Maitreya told him. ""Rama was blameless, but his father, King Dasharatha, exiled him at the behest of a jealous queen. For fourteen years, Rama lived as a forest hermit with his brother, Lakshmana, and his wife, Sita. Then the king of the rakshasas, Ravana, kidnapped Sita, and Rama had to wage a war to rescue her. He had no human allies, but with an army of monkeys, including the monkey-god Hanuman, he defeated Ravana. Only after all those hardships did Rama become king.""

";90;The Story of Rama;6;THE PANDAVAS IN EXILE;http://100words.lauragibbs.net/
"
""There was also King Nala,"" Maitreya continued. ""He lost his kingdom in a gambling match with his own brother, who then exiled Nala to the forest. Nala's loyal wife, Damayanti, accompanied him. Feeling ashamed, Nala abandoned her in the forest to live out his exile alone. Damayanti spent years searching for Nala but couldn't find him anywhere. Damayanti's father organized a swayamvara for her to choose a new husband, and Nala arrived, serving as charioteer to one of the kings seeking a bride. Damayanti recognized him, and together they won back Nala's kingdom and ruled again as king and queen.""

";91;The Story of Nala;6;THE PANDAVAS IN EXILE;http://100words.lauragibbs.net/
"
Maitreya then told another story. ""King Ashwapati's daughter Savitri chose to marry Satyavan, a prince living in poverty in the forest, supporting his blind father, a king who had lost his kingdom. Even worse: the royal astrologer predicted Satyavan would die in one year. But Savitri loved him, and when Yama took Satyavan to the land of the dead, she followed. 'You cannot follow!' Yama said, but Savitri persisted. Impressed, Yama granted her a wish. 'I want to bear Satyavan's children,' she said. Thus Yama had to restore Satyavan's life, thanks to Savitri.""
""I like that story,"" said Draupadi, smiling.

";92;The Story of Savitri;6;THE PANDAVAS IN EXILE;http://100words.lauragibbs.net/
"
After visiting the Pandavas in their forest exile, the rishi Maitreya went to Hastinapura. ""You must make peace between your sons and your nephews,"" he said to King Dhritarashtra. ""If not, it will lead to the annihilation of your family line.""
But Duryodhana just laughed at Maitreya and slapped his thigh as he had done when taunting Draupadi. 
""I curse you, Duryodhana!"" said Maitreya. ""One day Bhima will crush that thigh.""
""Take back your curse!"" begged Duryodhana, truly alarmed.
""The only solution is to make peace with the Pandavas,"" Maitreya replied.
But Duryodhana would never make peace with his cousins.

";93;The Rishi Maitreya Curses Duryodhana;6;THE PANDAVAS IN EXILE;http://100words.lauragibbs.net/
"
Draupadi was surprised to see Jayadratha, King of Sindhu, approach their forest camp in his chariot; he was the husband of Duryodhana's sister, Duhshala.
""Perhaps he brings a message from Hastinapura,"" Draupadi thought. 
""My husbands are hunting,"" she explained, ""but they will return soon.""
""I came to see you!"" Jayadratha replied. ""Leave this wretched wilderness and come with me. I'll be your new husband.""
""How dare you!"" Draupadi screamed as Jayadratha grabbed her.
""You're a whore for the taking,"" Jayadratha shouted at her angrily. ""And I'm going to take you!"" 
He then threw her in his chariot and rode away.

";94;Jayadratha Comes to the Forest;6;THE PANDAVAS IN EXILE;http://100words.lauragibbs.net/
"
The rishis heard Draupadi screaming, and they ran to find the Pandavas.
Arjuna quickly caught up with Jayadratha and used fire-arrows to incinerate his chariot wheels. Bhima then jumped on Jayadratha and began pummeling him with his mighty fists, while the twins kicked him from left and right.
""Stop!"" Yudhishthira shouted. ""Don't kill him. He is married to the only sister in our family.""
""Then I'll humiliate him for everyone to see,"" said Bhima, and he pulled out all of Jayadratha's hair, leaving just five tufts sticking out, one for each of the Pandavas to whom Jayadratha owed his life.

";95;The Pandavas Stop Jayadratha;6;THE PANDAVAS IN EXILE;http://100words.lauragibbs.net/
"
A golden lotus blown by the wind landed at Draupadi's feet. ""How lovely!"" she said.
""I'll bring you more,"" Bhima said eagerly, racing off to gather more lotuses.
He soon found his path blocked by a monkey's tail.
""Move your tail!"" Bhima shouted at the sleeping monkey.
The monkey didn't move.
""I said: MOVE YOUR TAIL."" 
""I'm old,"" the monkey replied. ""You move it.""
But Bhima couldn't move the tail: it was too heavy!
Then the monkey rose up tall as a mountain.
""Lord Hanuman!"" Bhima exclaimed, happily saluting his brother, for they were both sons of the wind-god, Vayu.

";96;Bhima Searches for Lotuses;6;THE PANDAVAS IN EXILE;http://100words.lauragibbs.net/
"
One day, a python grabbed Bhima. As Bhima struggled, the snake said, ""I was King Nahusha. I took Indraloka from Indra. I also took Indra's queen, Shachi. But she tricked me: she said the Saptarishis must carry me to her on a palanquin, and when the rishis walked slowly, I kicked one in the head. He cursed me to live as a python until someone named Yudhishthira freed me.""
""Yudhishthira's my brother!"" Bhima shouted.
""You're jussssst ssssssaying that..."" hissed the python. 
""Help!"" Bhima yelled.
His brothers came running and, at Yudhishthira's touch, Nahusha shed his snake-body and ascended to heaven.

";97;A Python Captures Bhima;6;THE PANDAVAS IN EXILE;http://100words.lauragibbs.net/
